0.0;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
69.06;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
172.25;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
203.5;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
245.65;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
304.52;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
309.27;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
337.0;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
341.0;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
402.0;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
403.0;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
449.1;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
454.0;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
468.89;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
482.0;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
524.0;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
529.4;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
552.75;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
562.5;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
568.0;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
572.7;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
579.0;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
581.7;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
587.03;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
601.81;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
602.25;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
606.0;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
609.45;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
615.14;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
630.41;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
633.6;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
633.88;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
636.98;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
642.81;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
643.0;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
652.23;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
655.45;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
665.8;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
675.25;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
677.45;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
680.31;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
682.75;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
689.0;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
700.05;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
707.0;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
707.45;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
717.9;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
720.0;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
721.85;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
730.0;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
732.14;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
741.16;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
744.89;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
746.0;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
746.7;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
746.74;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
750.0;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
752.55;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
756.8;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
761.0;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
761.03;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
763.59;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
764.64;[0.0, 2236.0];[0.0, 5028.09];[0.0, 15779.0];*
